time,population,Conc
130,I2,6499.434198606795
131,I2,6497.3867170357435
132,I2,6495.400776987681
133,I2,6493.474528131457
134,I2,6491.606175774342
135,I2,6489.793979188411
136,I2,6488.036249988063
137,I2,6486.331350567266
138,I2,6484.677692521899
139,I2,6483.07373541712
140,I2,6481.5179850146005
141,I2,6480.008991800943
142,I2,6478.545349835416
143,I2,6477.125695616018
144,I2,6475.748706729173
145,I2,6474.413100479275
146,I2,6473.117632673837
147,I2,6471.861096525747
148,I2,6470.642321564732
149,I2,6469.460172530523
150,I2,6468.3135482898115
151,I2,6467.2013808075
152,I2,6466.12263416271
153,I2,6465.076303589117
154,I2,6464.061414534938
155,I2,6463.077021749984
156,I2,6462.12220840434
157,I2,6461.1960852358925
158,I2,6460.2977897223645
159,I2,6459.426485276583
160,I2,6458.581360465822
161,I2,6457.761628255418
162,I2,6456.96652527551
163,I2,6456.1953111096145
164,I2,6455.447267604266
165,I2,6454.721698199439
166,I2,6454.017927279239
167,I2,6453.335299542189
168,I2,6452.6731793904055
169,I2,6452.030950337076
170,I2,6451.408014431771
171,I2,6450.803791703064
172,I2,6450.217719617915
173,I2,6449.649252557304
174,I2,6449.097861307623
175,I2,6448.563032567369
176,I2,6448.044268468667
177,I2,6447.541086113186
178,I2,6447.053017122014
179,I2,6446.579607199057
180,I2,6446.120415707576
181,I2,6445.675015259453
182,I2,6445.24299131681
183,I2,6444.823941805606
184,I2,6444.417476740863
185,I2,6444.0232178631395
186,I2,6443.640798285957
187,I2,6443.269862153824
188,I2,6442.910064310529
189,I2,6442.5610699774325
190,I2,6442.222554441409
191,I2,6441.894202752188
192,I2,6441.575709428793
193,I2,6441.266778174801
194,I2,6440.967121602173
195,I2,6440.6764609633865
196,I2,6440.39452589162
197,I2,6440.1210541487535
198,I2,6439.855791380946
199,I2,6439.598490881557
200,I2,6439.348913361211
0,I3,1
1,I3,794.3486230586853
2,I3,3167.8763892031466
3,I3,5597.148119030903
4,I3,7321.4173029984495
5,I3,8330.031079047658
6,I3,8840.475588380317
7,I3,9057.903570967243
8,I3,9119.433634497489
9,I3,9103.765118804624
10,I3,9052.23573174099
11,I3,8985.313666324233
12,I3,8912.694224864674
13,I3,8838.820030312732
14,I3,8765.659088191467
15,I3,8694.044343579946
16,I3,8624.301309642124
17,I3,8556.538600722202
18,I3,8490.759918227692
19,I3,8426.939463477202
20,I3,8365.02791091419
21,I3,8304.973502451865
22,I3,8246.723673144093
23,I3,8190.224820627085
24,I3,8135.424460556238
25,I3,8082.271779704443
26,I3,8030.717355265088
27,I3,7980.7131551793555
28,I3,7932.212544913817
29,I3,7885.170301046665
30,I3,7839.5425766824765
31,I3,7795.286845391247
32,I3,7752.361852670534
33,I3,7710.727580063506
34,I3,7670.345213294755
35,I3,7631.177106507288
36,I3,7593.186751657522
37,I3,7556.338735019193
38,I3,7520.598702195989
39,I3,7485.933331666749
40,I3,7452.31030823233
41,I3,7419.698290580585
42,I3,7388.066878446776
43,I3,7357.386584035178
44,I3,7327.628806350374
45,I3,7298.76580531922
46,I3,7270.77067506039
47,I3,7243.617319147524
48,I3,7217.280424395971
49,I3,7191.735438437006
50,I3,7166.9585481876975
51,I3,7142.926632434107
52,I3,7119.617367160932
53,I3,7097.008979986496
54,I3,7075.08045876797
55,I3,7053.811330446668
56,I3,7033.181734185438
57,I3,7013.172425584308
58,I3,6993.764772547198
59,I3,6974.9406195868705
60,I3,6956.682395995339
61,I3,6938.9730686869325
62,I3,6921.79621286503
63,I3,6905.135839568676
64,I3,6888.976457212366
65,I3,6873.3029612188075
66,I3,6858.100772518116
67,I3,6843.355698484065
68,I3,6829.053974912435
69,I3,6815.182262134765
70,I3,6801.727628112914
71,I3,6788.677545767663
72,I3,6776.019808220499
73,I3,6763.742601355882
74,I3,6751.834473364518
75,I3,6740.284380350247
76,I3,6729.08158101274
77,I3,6718.21562555818
78,I3,6707.676372753976
79,I3,6697.453993963572
80,I3,6687.53896220982
81,I3,6677.922037901185
82,I3,6668.594257857322
83,I3,6659.54692739145
84,I3,6650.771613179873
85,I3,6642.260135775097
86,I3,6634.004553069683
87,I3,6625.997196872102
88,I3,6618.23058861698
89,I3,6610.697510864352
90,I3,6603.390931423337
91,I3,6596.304029159213
92,I3,6589.430193694623
93,I3,6582.763017143406
94,I3,6576.296285280754
95,I3,6570.023971851578
96,I3,6563.940231134737
97,I3,6558.039392989822
98,I3,6552.3159577515535
99,I3,6546.764591152138
100,I3,6541.380119344509
101,I3,6536.157524064148
102,I3,6531.091937653064
103,I3,6526.178639541542
104,I3,6521.413050684523
105,I3,6516.790729662924
106,I3,6512.307368368735
107,I3,6507.958788643647
108,I3,6503.740937977733
109,I3,6499.649885663092
110,I3,6495.681819147953
111,I3,6491.833040508304
112,I3,6488.099966984132
113,I3,6484.479107343619
114,I3,6480.967082743168
115,I3,6477.5606180390205
116,I3,6474.256554769973
117,I3,6471.051821014511
118,I3,6467.943428211813
119,I3,6464.928476042064
120,I3,6462.004153584128
121,I3,6459.167736188812
122,I3,6456.416581396067
123,I3,6453.748125795767
124,I3,6451.159882763223
125,I3,6448.64944042009
126,I3,6446.2144594891415
127,I3,6443.852671090565
128,I3,6441.561874572818
129,I3,6439.3399354408975
130,I3,6437.1847833729735
131,I3,6435.094410300452
132,I3,6433.066868539405
133,I3,6431.100268973532
134,I3,6429.192779291257
135,I3,6427.342622277025
136,I3,6425.548074154824
137,I3,6423.807462992658
138,I3,6422.119167091825
139,I3,6420.481613728441
140,I3,6418.893277343518
141,I3,6417.352678040526
142,I3,6415.858380408983
143,I3,6414.408992366736
144,I3,6413.003163781366
145,I3,6411.639585070996
146,I3,6410.316985963966
147,I3,6409.034134378093
148,I3,6407.789835309311
149,I3,6406.582929701626
150,I3,6405.41229334138
151,I3,6404.276835806928
152,I3,6403.175499464022
153,I3,6402.107258486039
154,I3,6401.071117894246
155,I3,6400.06611262572
156,I3,6399.091306633564
157,I3,6398.145792016554
158,I3,6397.22868817382
159,I3,6396.339140983247
160,I3,6395.476322004451
161,I3,6394.639427706536
162,I3,6393.827678719472
163,I3,6393.040319107745
164,I3,6392.276615665536
165,I3,6391.535857233105
166,I3,6390.817354033866
167,I3,6390.120437031476
168,I3,6389.444457306206
169,I3,6388.7887854499995
170,I3,6388.152810979744
171,I3,6387.535941768187
172,I3,6386.937603492005
173,I3,6386.357239096442
174,I3,6385.794308276038
175,I3,6385.248286970975
176,I3,6384.718666878581
177,I3,6384.204954979511
178,I3,6383.7066730781835
179,I3,6383.22335735704
180,I3,6382.7545579441885
181,I3,6382.29983849407
182,I3,6381.858775780725
183,I3,6381.430959303295
184,I3,6381.0159909033755
185,I3,6380.61348439389
186,I3,6380.223065199117
187,I3,6379.844370005536
188,I3,6379.477046423189
189,I3,6379.120752657205
190,I3,6378.775157189218
191,I3,6378.439938468356
192,I3,6378.114784611525
193,I3,6377.799393112703
194,I3,6377.493470560983
195,I3,6377.196732367086
196,I3,6376.908902498099
197,I3,6376.6297132202
198,I3,6376.358904849103
199,I3,6376.0962255080185
200,I3,6375.84143089289
0,I4,1
1,I4,188.42603456991833
2,I4,1399.8654372658825
3,I4,3422.616991285838
4,I4,5443.1444786490065
5,I4,6992.836605362428
6,I4,7997.4545945116215
7,I4,8568.36267924095
8,I4,8850.659357015611
9,I4,8961.010075997718
10,I4,8976.728871432304
11,I4,8943.673445530503
12,I4,8887.091351181058
13,I4,8820.161089549536
14,I4,8749.478417448598
15,I4,8678.222178107171
16,I4,8607.864025760919
17,I4,8539.066113186473
18,I4,8472.078782988017
19,I4,8406.99673109026
20,I4,8343.821264851924
21,I4,8282.522267768325
22,I4,8223.057484897137
23,I4,8165.377048385419
24,I4,8109.429094182089
25,I4,8055.162614963429
26,I4,8002.527657826297
27,I4,7951.475366166729
28,I4,7901.958163192127
29,I4,7853.929874571936
30,I4,7807.34574110762
31,I4,7762.162358454872
32,I4,7718.33761480551
33,I4,7675.830651968138
34,I4,7634.601838310148
35,I4,7594.612737049889
36,I4,7555.826075037501
37,I4,7518.205697333425
38,I4,7481.716529771996
39,I4,7446.324551697373
40,I4,7411.996769974888
41,I4,7378.701186620346
42,I4,7346.406764591996
43,I4,7315.083397816091
44,I4,7284.701885311168
45,I4,7255.233905500587
46,I4,7226.651988825201
47,I4,7198.929491927451
48,I4,7172.040570818637
49,I4,7145.960158305552
50,I4,7120.663942122664
51,I4,7096.12831647139
52,I4,7072.330489427306
53,I4,7049.248232200693
54,I4,7026.860092162311
55,I4,7005.1451670742335
56,I4,6984.08317976422
57,I4,6963.654482425539
58,I4,6943.840052391645
59,I4,6924.621353593943
